sim_size,B,epsilon_1,delta_1,epsilon_2,delta_2,k,avg_priv_10_risk,sd_priv_10_risk,avg_priv_33_risk,sd_priv_33_risk,avg_priv_50_risk,sd_priv_50_risk,avg_priv_67_risk,sd_priv_67_risk,avg_priv_100_risk,sd_priv_100_risk
5,0.1,3,0.00015,0.9999,8e-05,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.25,3,0.00015,0.9999,8e-05,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.5,3,0.00015,0.9999,8e-05,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0,3,0.00015,0.9999,8e-05,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2.0,3,0.00015,0.9999,8e-05,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
