sim_size,attack_style,B,epsilon_1,delta_1,epsilon_2,delta_2,k,avg_median_risk,sd_median_risk,avg_mean_risk,sd_mean_risk,avg_max_risk,sd_max_risk
5,but_one,Non-Private Baseline,Non-Private Baseline,Non-Private Baseline,Non-Private Baseline,Non-Private Baseline,Non-Private Baseline,0.9845675740455349,0.0005128632184716753,0.9843863121021121,0.0005064076744234941,0.9859480121875557,0.0005835128965954123
5,half,Non-Private Baseline,Non-Private Baseline,Non-Private Baseline,Non-Private Baseline,Non-Private Baseline,Non-Private Baseline,0.9846078366016124,0.00041376584392709874,0.9846030021565925,0.0002860135170960342,0.9863858143424823,0.0002222194825728929
5,one,Non-Private Baseline,Non-Private Baseline,Non-Private Baseline,Non-Private Baseline,Non-Private Baseline,Non-Private Baseline,0.9844600977094983,0.0004335088618312348,0.984304241585418,0.00035420068198721387,0.9861696699089624,0.0005812547618382366
