sim_size,attack_style,B,epsilon_1,delta_1,epsilon_2,delta_2,k,avg_median_risk,sd_median_risk,avg_mean_risk,sd_mean_risk,avg_max_risk,sd_max_risk
5,but_one,0.1,3,0.00015,0.9999,8e-05,10000,0.012572644911299396,0.02415740227032185,0.03843211861956321,0.019992925678767183,0.1622531787425768,0.09864832663271184
5,half,0.1,3,0.00015,0.9999,8e-05,10000,0.01254293882015726,0.017922151202226438,0.05062867903912066,0.018364088443228423,0.2534796384406552,0.2185716001992103
5,one,0.1,3,0.00015,0.9999,8e-05,10000,0.0002725384312865137,0.0005450768625730274,0.034536595182789474,0.03558702535609382,0.2071664320920122,0.19120967108286338
5,but_one,0.25,3,0.00015,0.9999,8e-05,10000,0.008114419821491105,0.014624018292102034,0.02618104257537679,0.010860054004788301,0.10248159956531329,0.02550156280141119
5,half,0.25,3,0.00015,0.9999,8e-05,10000,0.020443621694753677,0.023033345381363115,0.035630134367240926,0.011563498492311069,0.1347273910902865,0.054751125216669784
5,one,0.25,3,0.00015,0.9999,8e-05,10000,0.00039846929660577784,0.0007969385932115557,0.027313731756427824,0.02317406400188065,0.1791670985988388,0.1362226410795375
5,but_one,0.5,3,0.00015,0.9999,8e-05,10000,0.015087784607027843,0.01107903809698481,0.03069885094707363,0.01354603632738949,0.11689757644544407,0.044708983059339284
5,half,0.5,3,0.00015,0.9999,8e-05,10000,0.016100098884652317,0.010601903257781445,0.03392032161825877,0.006766414378368345,0.1567792841353722,0.03683712866447968
5,one,0.5,3,0.00015,0.9999,8e-05,10000,0.00019963238518340784,0.00039926477036681567,0.030159967632473382,0.03539577319660835,0.18206338929525132,0.18592053420697602
5,but_one,1.0,3,0.00015,0.9999,8e-05,10000,0.007488331022737089,0.008592063093584635,0.019325222398874704,0.013729547115037889,0.06925297058927102,0.04367500440982499
5,half,1.0,3,0.00015,0.9999,8e-05,10000,0.007590361118309489,0.01116694425215348,0.030498659958389168,0.012768085177504964,0.16343391316174233,0.05034282886992831
5,one,1.0,3,0.00015,0.9999,8e-05,10000,0.002830605263362964,0.005177518965436241,0.04173046621525374,0.03454569125632727,0.21297085974846075,0.18456311907181913
5,but_one,2.0,3,0.00015,0.9999,8e-05,10000,0.008078638979585884,0.007241952313890151,0.026189776230911455,0.018122719193818564,0.10205625440747082,0.09184250978972759
5,half,2.0,3,0.00015,0.9999,8e-05,10000,0.003357418748744012,0.00500326563510068,0.02780218920194183,0.011148892378131648,0.15395344023883623,0.07261151242131997
5,one,2.0,3,0.00015,0.9999,8e-05,10000,0.004512843707948177,0.004392871562820175,0.07557540313177649,0.0473282695488416,0.4174863053575658,0.18337597766878588
